distance_km,weight_kg,price,payment_method,order_hour,is_fraud,data_source
29.55,74.31,968,Wallet,12,1,synthetic
51.55,43.65,620,Prepaid,11,0,synthetic
592.39,8.52,685,COD,7,0,synthetic
573.65,114.1,1935,Prepaid,4,0,synthetic
54.9,10.47,225,Prepaid,16,0,real_openml_creditcard_42397
149.74,28.41,526,Wallet,4,1,synthetic
696.71,63.56,1440,Wallet,18,0,synthetic
81.14,61.63,863,Prepaid,1,0,synthetic
93.68,8.14,232,COD,11,0,real_openml_creditcard_42397
374.84,115.55,1774,COD,6,0,synthetic
471.23,58.06,1171,Prepaid,10,0,synthetic
560.84,46.27,1110,Prepaid,13,0,synthetic
36.46,53.1,720,Prepaid,19,0,real_openml_creditcard_42397
132.71,1.21,184,COD,20,0,real_openml_creditcard_42397
231.19,1.08,271,Wallet,11,0,real_openml_creditcard_42397
378.96,116.25,1786,Wallet,0,0,synthetic
3.4,10.58,180,Prepaid,16,0,real_openml_creditcard_42397
152.85,1.2,202,Wallet,20,0,real_openml_creditcard_42397
292.37,10.86,443,Wallet,2,0,synthetic
4.44,68.75,879,Wallet,8,1,synthetic
497.19,63.46,1259,Wallet,11,0,synthetic
174.15,73.78,1092,Wallet,10,0,synthetic
40.34,7.97,182,Prepaid,13,0,real_openml_creditcard_42397
328.18,14.39,518,Prepaid,8,0,real_openml_creditcard_42397
208.4,20.11,479,COD,16,0,synthetic
7.23,11.62,196,Prepaid,21,0,real_openml_creditcard_42397
62.78,7.96,202,COD,13,0,real_openml_creditcard_42397
661.36,85.95,1677,COD,19,0,synthetic
291.72,31.7,693,Wallet,19,0,real_openml_creditcard_42397
281.55,108.87,1610,Prepaid,2,0,synthetic
97.65,30.84,508,Wallet,1,0,synthetic
275.01,14.37,470,Wallet,23,0,real_openml_creditcard_42397
30.85,10.52,204,Wallet,11,0,real_openml_creditcard_42397
93.88,4.38,187,Prepaid,18,0,real_openml_creditcard_42397
624.56,43.37,1132,Wallet,16,0,synthetic
188.15,21.22,474,Wallet,21,0,real_openml_creditcard_42397
